FILIAL,DATA,SEMANA,ORIGEM,COD. ELERO,PRIMARY KEY,CODIGO SPTRANS,EQUIPAMENTO,OCORRÊNCIA,STATUS,CONCLUIDO,PENDENTE,PORCENTAGEM ATENDIMENTO,DATA DE RESPOSTA,SLA,EQUIP - RESUMO,INDICE,DIAS EM ABERTO
SUL,03/12/2024,49,SAC,T19600,220013852,220013852,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,14/02/2025,,TOTEM,1,
LESTE,13/12/2024,50,SAC,T00390,6714482,6714482,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,08/01/2025,,TOTEM,2,
LESTE,17/12/2024,51,SAC,A07805,670016862,670016862,CAOS LEVE,ADESIVO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,3,
MATRIZ,21/12/2024,51,COP,A07758,VERIFICAR,640001400,CAOS LEVE,ABALROADO,CONCLUIDO,1,0,100%,16/01/2025,,ABRIGO,4,
LESTE,21/12/2024,51,COP,A07940,860012108,860012108,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,5,
SUL,22/12/2024,52,COP,A08758,720015734-1,720015734,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,,ABRIGO,6,
MATRIZ,22/12/2024,52,COP,A00160,60016462-1,60016462,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,7,
MATRIZ,22/12/2024,52,COP,T04679,VERIFICAR,8412880,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,08/01/2025,,TOTEM,8,
MATRIZ,22/12/2024,52,COP,CRIAR CODIGO,VERIFICAR,8412895,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,08/01/2025,,TOTEM,9,
LESTE,23/12/2024,52,SAC,A05436,2009267,2009267,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,10,
MATRIZ,23/12/2024,52,SAC,T16579,VERIFICAR,4814587,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,08/01/2025,,TOTEM,11,
LESTE,23/12/2024,52,SAC,A05700,VERIFICAR,310008364,BRUTALISTA LEVE,ABALROADO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,12,
SUL,23/12/2024,52,SAC,A01616,9206248,9206248,CAOS ESTRUTURADO,TOTEM DANIFICADO,CONCLUIDO,1,0,100%,16/01/2025,,ABRIGO,13,
MATRIZ,23/12/2024,52,SAC,A02081,210001551-1,210001551,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,14,
SUL,23/12/2024,52,SAC,A01682,270016231,270016231,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,15,
SUL,23/12/2024,52,SAC,A07551,450011840,450011840,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,16,
LESTE,23/12/2024,52,SAC,T15596,200008701,200008701,TOTEM,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,17,
MATRIZ,23/12/2024,52,SAC,A00646,VERIFICAR,630015115,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,08/01/2025,,TOTEM,18,
SUL,23/12/2024,52,SAC,A07096,450011842,450011842,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,19,
SUL,23/12/2024,52,SAC,A08582,1903924-1,1903924,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,20,
SUL,23/12/2024,52,SAC,A08187,450011850,450011850,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,21,
SUL,23/12/2024,52,LIDIA,A04237,VERIFICAR,450013342,MINIMALISTA LEVE,ADESIVO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,22,
LESTE,23/12/2024,52,SAC,A06533,8914790,8914790,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,23,
MATRIZ,23/12/2024,52,LIDIA,T09662,610016841,610016841,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,27/12/2024,4,TOTEM,24,
MATRIZ,23/12/2024,52,LIDIA,A00524,610016842,610016842,CAOS ESTRUTURADO,ADESIVO,CONCLUIDO,1,0,100%,14/01/2025,,ABRIGO,25,
SUL,23/12/2024,52,SAC,A07874,720011686-1,720011686,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,26,
SUL,23/12/2024,52,SAC,A07895,720011693-1,720011693,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,27,
SUL,23/12/2024,52,SAC,A08515,720011701-1,720011701,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,28,
SUL,23/12/2024,52,SAC,A08590,720011700-1,720011700,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,29,
SUL,23/12/2024,52,SAC,A08541,720011698-1,720011698,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,30,
MATRIZ,23/12/2024,52,SAC,A08751,340015483,340015483,CAOS LEVE,ADESIVO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,31,
LESTE,23/12/2024,52,SAC,A07703,200012227,200012227,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,32,
SUL,23/12/2024,52,SAC,A04277,5306699,5306699,CAOS LEVE,ADESIVO,CONCLUIDO,1,0,100%,13/01/2025,,ABRIGO,33,
